,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FILENAME,OBJECT,FILTER,IMAGETYP,DATE-OBS,EXP-TIME,JD
145,145.0,145.0,145.0,22.0,LDST_250430-0008_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T21:18:32.21,,2460796.3878728007
146,146.0,146.0,146.0,458.0,registered_M82_R*_212.fits,M82,R*,REGISTERED,2025-04-30T21:19:37.96,,2460796.3886337965
147,147.0,147.0,147.0,516.0,reduced_M82_R*_78.fits,M82,R*,REDUCED,2025-04-30T21:19:37.96,,2460796.3886337965
148,148.0,148.0,148.0,212.0,LDST_250430-0009_R.fit,LDST_250430,R*,LIGHT,2025-04-30T21:19:37.96,,2460796.3886337965
149,149.0,149.0,149.0,25.0,registered_M82_G*_213.fits,M82,G*,REGISTERED,2025-04-30T21:20:42.33,,2460796.38937882
150,150.0,150.0,150.0,242.0,LDST_250430-0009_G.fit,LDST_250430,G*,LIGHT,2025-04-30T21:20:42.33,,2460796.38937882
151,151.0,151.0,151.0,146.0,reduced_M82_G*_79.fits,M82,G*,REDUCED,2025-04-30T21:20:42.33,,2460796.38937882
152,152.0,152.0,152.0,318.0,registered_M82_B*_214.fits,M82,B*,REGISTERED,2025-04-30T21:21:46.63,,2460796.3901230325
153,153.0,153.0,153.0,433.0,LDST_250430-0009_B.fit,LDST_250430,B*,LIGHT,2025-04-30T21:21:46.63,,2460796.3901230325
154,154.0,154.0,154.0,487.0,reduced_M82_B*_80.fits,M82,B*,REDUCED,2025-04-30T21:21:46.63,,2460796.3901230325
155,155.0,155.0,155.0,144.0,reduced_M82_H_alpha_81.fits,M82,H_alpha,REDUCED,2025-04-30T21:22:50.86,,2460796.390866435
156,156.0,156.0,156.0,473.0,LDST_250430-0009_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T21:22:50.86,,2460796.390866435
157,157.0,157.0,157.0,31.0,registered_M82_H_alpha_215.fits,M82,H_alpha,REGISTERED,2025-04-30T21:22:50.86,,2460796.390866435
158,158.0,158.0,158.0,58.0,LDST_250430-0010_R.fit,LDST_250430,R*,LIGHT,2025-04-30T21:23:56.79,,2460796.391629514
159,159.0,159.0,159.0,270.0,reduced_M82_R*_82.fits,M82,R*,REDUCED,2025-04-30T21:23:56.79,,2460796.391629514
160,160.0,160.0,160.0,434.0,registered_M82_R*_216.fits,M82,R*,REGISTERED,2025-04-30T21:23:56.79,,2460796.391629514
161,161.0,161.0,161.0,398.0,reduced_M82_G*_83.fits,M82,G*,REDUCED,2025-04-30T21:25:01.06,,2460796.39237338
162,162.0,162.0,162.0,51.0,registered_M82_G*_217.fits,M82,G*,REGISTERED,2025-04-30T21:25:01.06,,2460796.39237338
